Model,MAE,RMSE,MAPE
Linear Regression,1125.6356772280897,1578.452838738138,0.17917164682261627
Random Forest,675.4403754774157,997.560017554757,0.10576646983247497
XGBoost,637.7298085321928,940.6666910429028,0.09854223301854854
